Date,Time,altimeter_set_1,wind_gust_set_1,pressure_change_code_set_1,cloud_layer_3_code_set_1,sea_level_pressure_set_1,sea_level_pressure_set_1d,peak_wind_speed_set_1,cloud_layer_1_code_set_1,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,peak_wind_direction_set_1,pressure_tendency_set_1,ceiling_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,weather_cond_code_set_1,wind_direction_set_1
12/31/15,11:53PM,101794.79,null,null,null,null,101791.77,null,2506,null,null,null,null,null,null,null,27.28,11.5,null,null,62.6,null,12/31/15-11:53PM,28.26,10,28.4,null,null,null,290
12/31/15,10:53PM,101794.79,null,null,null,101800,101790.21,null,2506,null,null,null,null,null,null,null,18.96,0,null,null,64.4,null,12/31/15-10:53PM,21.09,10,21.2,null,null,null,0
12/31/15,09:53PM,101828.66,null,null,null,101820,101824.08,null,1806,null,null,null,null,null,null,null,17.56,3.44,null,null,64.4,null,12/31/15-09:53PM,19.31,10,19.4,null,null,null,190
12/31/15,08:53PM,101896.38,null,null,null,101890,101891.8,null,1606,null,null,null,null,8023,null,null,17.56,3.44,null,null,64.4,null,12/31/15-08:53PM,19.31,10,19.4,null,null,null,null
12/31/15,07:53PM,101964.11,null,null,null,101960,101959.52,null,1606,null,null,null,null,null,null,null,18.96,0,null,null,64.4,null,12/31/15-07:53PM,21.09,10,21.2,null,null,null,0
12/31/15,06:53PM,102065.7,null,null,null,102070,102064.26,null,1606,null,null,null,null,null,null,null,26.99,0,null,null,60.8,null,12/31/15-06:53PM,26.44,10,26.6,null,null,null,0
12/31/15,05:53PM,102133.43,null,null,null,102120,102135.19,null,606,44.06,null,null,null,2013,null,1802,33.05,5.75,null,null,57.2,57.02,12/31/15-05:53PM,28.22,10,28.4,null,null,null,50
12/31/15,04:53PM,102099.57,null,null,null,102100,102107.86,null,506,null,null,null,null,null,null,1602,46.29,5.75,null,null,50,null,12/31/15-04:53PM,30,10,30.2,null,null,null,100
12/31/15,03:53PM,102065.7,null,null,null,102050,102077.32,null,506,null,null,null,null,null,null,1602,49.22,3.44,null,null,46.4,null,12/31/15-03:53PM,28.2,10,28.4,null,null,null,50
12/31/15,02:53PM,102031.84,null,null,null,102010,102043.46,null,1106,null,null,null,null,3005,null,1902,45.7,0,null,null,46.4,null,12/31/15-02:53PM,26.4,10,26.6,null,null,null,0
12/31/15,01:53PM,101997.98,null,null,null,101980,102009.6,null,1,null,null,null,null,null,null,null,49.22,0,null,null,46.4,null,12/31/15-01:53PM,28.2,10,28.4,null,null,null,0
12/31/15,12:53PM,101964.11,null,null,null,101960,101974.05,null,1,null,null,null,null,null,null,null,46,3.44,null,null,48.2,null,12/31/15-12:53PM,28.2,10,28.4,null,null,null,null
12/31/15,11:53AM,101964.11,null,null,null,101950,101975.72,null,1,44.06,null,null,null,8011,null,null,61.27,3.44,null,null,46.4,55.04,12/31/15-11:53AM,33.66,10,33.8,null,null,null,20
12/31/15,10:53AM,102031.84,null,null,null,102000,102043.46,null,1,null,null,null,null,null,null,null,61.27,4.61,null,null,46.4,null,12/31/15-10:53AM,33.66,10,33.8,null,null,null,50
12/31/15,09:53AM,102065.7,null,null,null,102030,102077.31,null,1,null,null,null,null,null,null,null,65.82,3.44,null,null,46.4,null,12/31/15-09:53AM,35.47,10,35.6,null,null,null,50
12/31/15,08:53AM,102065.7,null,null,null,102050,102075.64,null,1,null,null,null,null,8004,null,null,61.51,3.44,null,null,48.2,null,12/31/15-08:53AM,35.46,10,35.6,null,null,null,null
12/31/15,07:53AM,102133.43,null,null,null,102110,102143.38,null,186,null,60.98,null,null,null,null,null,66.05,4.61,null,null,48.2,null,12/31/15-07:53AM,37.27,10,37.4,42.08,null,null,110
12/31/15,06:53AM,102133.43,null,null,null,102120,102140.07,null,146,null,null,null,null,null,null,null,62,0,null,null,51.8,null,12/31/15-06:53AM,39.07,10,39.2,null,null,null,0
12/31/15,05:53AM,102099.57,null,null,null,102100,102104.56,null,1,53.06,null,null,null,3006,null,null,54.08,0,null,null,53.6,57.02,12/31/15-05:53AM,37.26,10,37.4,null,null,null,0
12/31/15,04:53AM,102065.7,null,null,null,102070,102070.69,null,1,null,null,null,null,null,null,null,54.08,4.61,null,null,53.6,null,12/31/15-04:53AM,37.26,10,37.4,null,null,null,330
12/31/15,03:53AM,102065.7,null,null,null,102080,102069.06,null,1,null,null,null,null,null,null,null,62.48,10.36,null,null,55.4,null,12/31/15-03:53AM,42.69,10,42.8,null,null,null,260
12/31/15,02:53AM,102031.84,null,null,null,102050,102035.2,null,1,null,null,null,null,1007,null,null,66.93,11.5,null,null,55.4,null,12/31/15-02:53AM,44.49,10,44.6,null,null,null,270
